,Artist,Song,Days,T10,Pk,Total,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Ed Sheeran,Shape of You,416,237.0,1,1608708960,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931
1,Drake,One Dance,682,187.0,1,1393021898,1xznGGDReH1oQq0xzbwXa3,0.00784,0.791,173987,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,4,0.371
2,The Chainsmokers,Closer,575,191.0,1,1199158995,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
3,Luis Fonsi,Despacito - Remix,315,140.0,1,989199762,5CtI0qwDJkDQGwXD1H1cLb,0.229,0.694,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4,0.813
4,Ed Sheeran,Thinking Out Loud,1203,156.0,1,952427633,34gCuhDGsG4bRPIf9bb02f,0.474,0.781,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4,0.591
5,Justin Bieber,Love Yourself,741,154.0,1,947784901,3hB5DgAiMAQ4DzYbsMq1IT,0.835,0.609,233720,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515
6,Justin Bieber,Sorry,649,145.0,1,936550004,69bp2EbF7Q2rqc5N3ylezZ,0.0797,0.654,200787,0.76,0.0,0,0.299,-3.669,0,0.045,99.945,4,0.41
7,The Chainsmokers,Don't Let Me Down,655,151.0,3,929849151,1i1fxkWeaMmKEB4T7zqbzK,0.157,0.532,208373,0.869,0.00508,11,0.136,-5.094,1,0.172,159.803,4,0.422
8,The Weeknd,Starboy,520,145.0,1,904257627,5aAx2yezTd8zXrkmtKl66Z,0.165,0.681,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535
9,Major Lazer,Lean On,812,215.0,1,903501246,4WjH9Bzt3kx7z8kl0awxh4,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.081,0,0.0625,98.007,4,0.274
10,Mike Posner,I Took A Pill In Ibiza - SeeB Remix,698,156.0,2,885579145,7vfWgVGiLgnGbInU5lvSQg,0.037,0.673,199227,0.79,9.95e-06,7,0.0875,-4.663,0,0.0893,102.013,4,0.705
11,DJ Snake,Let Me Love You,474,155.0,2,849452494,4pdPtRcBmOSQDlJ3Fk945m,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142
12,Major Lazer,Cold Water,415,124.0,1,802152562,6DNtNfH8hXkqOX1sjqmI7p,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501
13,Post Malone,rockstar,164,163.0,1,789364084,7wGoVu4Dady5GV0Sv4UIsx,0.13,0.577,218320,0.522,9.03e-05,5,0.142,-6.594,0,0.0984,159.772,4,0.119
14,Ed Sheeran,Photograph,1171,,13,785278346,1HNkqx9Ahdgi1Ixy2xkKkL,0.607,0.614,258987,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
15,Luis Fonsi,Despacito,407,105.0,3,772280809,4aWmUDTfIPGksMNLV2rQP2,0.209,0.66,228200,0.786,0.0,2,0.112,-4.757,1,0.17,177.833,4,0.846
16,Sia,Cheap Thrills,578,131.0,3,767094935,27SdWb2rFzO6GWiYDBTD9j,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,4,0.732
17,Justin Bieber,What Do You Mean?,532,170.0,1,755059282,3pzjHKrQSvXGHQ98dx18HI,0.59,0.845,205680,0.567,0.00142,5,0.0811,-8.118,0,0.0956,125.02,4,0.793
18,James Arthur,Say You Won't Let Go,526,97.0,6,751246701,5uCax9HTNlzGybIStD3vDh,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.043,4,0.494
19,The Chainsmokers,Something Just Like This,368,86.0,2,750972261,6RUKPb4LETWmmr3iAEQktW,0.0498,0.617,247160,0.635,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,0.446
20,Kendrick Lamar,HUMBLE.,332,83.0,1,731029761,7KXjTSCq5nL1LoYtL7XAwS,0.000259,0.904,177000,0.611,2.03e-05,1,0.0976,-6.842,0,0.0888,150.02,4,0.4
21,Twenty One Pilots,Stressed Out,734,83.0,5,711776635,3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,0.734,202333,0.637,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,0.648
22,French Montana,Unforgettable,323,115.0,3,706688414,3B54sVLJ402zGa6Xm4YGNe,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733
23,Calvin Harris,This Is What You Came For,447,125.0,2,704638904,0azC730Exh71aQlOt9Zj3y,0.199,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.465
24,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")",533,97.0,3,696239189,6JV2JOEocMgcZxYSZelKcc,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701
25,Alan Walker,Faded,645,108.0,6,695662686,1brwdYwjltrJo7WHpIvbYt,0.0291,0.589,212627,0.651,3.2e-06,6,0.111,-5.097,1,0.0306,90.011,4,0.166
26,Fifth Harmony,Work from Home,518,140.0,2,691600792,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593
27,Shawn Mendes,Treat You Better,538,82.0,4,687335906,76t5B0ttSAje5KHmQbv88t,0.107,0.683,187973,0.797,0.0,10,0.114,-4.085,0,0.246,82.916,4,0.758
28,Camila Cabello,Havana,206,172.0,1,684978484,0ofbQMrRDsUaVKq2mGLEAb,0.186,0.768,216897,0.517,3.8e-05,7,0.104,-4.323,0,0.0312,104.992,4,0.418
29,DJ Khaled,I'm the One,304,111.0,2,681948101,3DXncPQOG4VBw3QHh3S817,0.0552,0.609,288600,0.668,0.0,7,0.167,-4.284,1,0.0367,80.924,4,0.811
30,Lukas Graham,7 Years,600,97.0,2,680493258,5kqIPrATaCc2LqxVWzQGbk,0.287,0.765,237300,0.473,0.0,10,0.391,-5.829,1,0.0514,119.992,4,0.34
31,Clean Bandit,Rockabye,457,98.0,3,669790211,5knuzwU65gJK7IF5yJsuaW,0.406,0.72,251088,0.763,0.0,9,0.18,-4.068,0,0.0523,101.965,4,0.742
32,Dua Lipa,New Rules,231,160.0,2,668951445,2ekn2ttSfGqwhhate0LSR0,0.00256,0.771,208827,0.696,9.71e-06,9,0.179,-6.258,0,0.0755,116.054,4,0.656
33,Lil Uzi Vert,XO TOUR Llif3,337,7.0,9,663558531,2eMwDehkIC1j68U6FA3Eiq,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
34,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),433,89.0,2,650059893,3NdDpSvN911VPGivFlV5d0,0.0631,0.735,245200,0.451,1.3e-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862
35,Bruno Mars,That's What I Like,463,57.0,5,648442911,0KKkJNfGyhkQ5aFogxQAPU,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86
36,Adele,Hello,506,106.0,1,646526963,0ENSn4fwAbCGeFGVUbXEU3,0.336,0.481,295493,0.451,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,0.289
37,Rihanna,Work,414,99.0,1,641097713,14WWzenpaEgQZlqPq2nk4v,0.0752,0.725,219320,0.534,0.0,11,0.0919,-6.238,1,0.0946,91.974,4,0.558
38,Kygo,It Ain't Me,368,98.0,2,639268945,3eR23VReFzcdmS7TYCrhCe,0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515
